,term_str,n_male,p_male,n_female,p_female,pos_y,diff,rank,gender_word,campaign_word,media_word,people,junk_words,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,pf_adj,pm_adj,class,overall_freq
488,change,431,0.43,234,0.58,NN,-0.000144646,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.43,other,0.47905
522,church,141,0.14,25,0.06,NN,7.98E-05,2918,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.06,0.14,positive,0.11384
625,congress,165,0.17,44,0.11,JJ,5.70E-05,2814,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.11,0.17,campaign,0.15038
672,coronavirus,509,0.51,245,0.6,VBP,-9.35E-05,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.51,other,0.53943
678,corruption,39,0.04,55,0.14,NN,-9.65E-05,187,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.14,0.04,negative,0.0727
697,coverage,112,0.11,47,0.12,NN,-3.54E-06,1115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.11,media,0.11327
726,crying,5,0.01,43,0.11,VBG,-0.000101004,180,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.11,0.01,negative,0.0427
747,damn,63,0.06,68,0.17,NN,-0.000104468,176,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.17,0.06,negative,0.09597
759,daughter,44,0.04,40,0.1,NN,-5.45E-05,356,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.1,0.04,gender,0.05962
774,debate,765,0.77,274,0.68,NN,9.17E-05,2952,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.77,media,0.74057
776,debates,506,0.51,116,0.29,NNS,0.000221514,3109,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.51,media,0.43806
803,delegate,181,0.18,13,0.03,NN,0.000149491,3047,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.03,0.18,campaign,0.13095
811,demdebate,531,0.53,223,0.55,NN,-1.72E-05,789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.53,campaign,0.53654
815,democrat,535,0.54,75,0.18,NN,0.000351688,3149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.54,campaign,0.42228
818,democratic,3053,3.06,652,1.61,JJ,0.001454617,3177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1525,1.515,campaign,2.58585
824,democrats,1095,1.1,152,0.37,NNS,0.00072352,3171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1.025,campaign,0.86129
861,die,148,0.15,70,0.17,NN,-2.41E-05,681,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.17,0.15,negative,0.15654
877,disappointed,32,0.03,51,0.13,VBD,-9.36E-05,192.5,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.13,0.03,negative,0.0627
908,donald,1202,1.21,148,0.36,NN,0.000840703,3174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.36,1.0525,people,0.93205
911,donate,54,0.05,391,0.96,NN,-0.000909868,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.05,campaign,0.34757
973,effective,42,0.04,74,0.18,JJ,-0.000140325,130,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.18,0.04,positive,0.08578
982,elect,158,0.16,88,0.22,VBP,-5.85E-05,329,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.22,0.16,campaign,0.17962
983,electability,59,0.06,49,0.12,NN,-6.16E-05,307,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.06,campaign,0.07962
